scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,type,open_access,scopus_asjc_code,subject_area,quartile,top_10%,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,my_index,my_publisher,my_percentile,my_frequency,my_open_access,PSI
21100824682,Smart Science,0.99,38,74,75,49,0.479,0.161,168,272,Taylor and Francis Ltd.,Journal,YES,1705,Computer Networks and Communications,Quartile3,,https://www.scopus.com/sourceid/21100824682,Scopus,Taylor and Francis,300,Bi-monthly,,,Yes,,2308-0477,0.30712558847351823,0.12864649187644808,0.15044059483955727,0.01150157901022914,0.22314460170198686,0.8208588559017396
21100806003,"Engineering Science and Technology, an International Journal",4.85,88,2129,439,85,2.432,0.765,30,272,Elsevier BV,Journal,YES,1705,Computer Networks and Communications,Quartile1,,https://www.scopus.com/sourceid/21100806003,Scopus,Elsevier,100,Bi-monthly,,,Yes,,2215-0986,0.30712558847351823,0.23390271250263286,0.021491513548508184,0.01150157901022914,0.22314460170198686,0.7971659952368753
18202,Eurasip Journal on Wireless Communications and Networking,1.97,63,1512,768,62,1.046,0.316,99,272,Springer Open,Journal,YES,1705,Computer Networks and Communications,Quartile2,,https://www.scopus.com/sourceid/18202,Scopus,Springer,200,Annual,https://jwcn-eurasipjournals.springeropen.com/,13 weeks,Yes,1687-1472,1687-1499,0.30712558847351823,0.163731898751843,0.08596605419403273,0.0020911961836780255,0.22314460170198686,0.7820593393050588
21100781706,South African Computer Journal,0.49,15,19,39,26,0.596,0.143,229,272,South African Institute of Computer Scientists and Information Technologists,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100781706,Scopus,Others,400,Bi-monthly,,,Yes,1015-7999,2313-7835,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
19900188004,Observatorio,0.3,8,41,136,23,0.286,0.186,248,272,OberCom - Observatorio da Comunicacao,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/19900188004,Scopus,Others,400,Bi-monthly,,,Yes,0874-8810,1646-5954,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100827462,Journal of Advanced Manufacturing Technology,0.47,14,16,34,29,0.078,0.122,232,272,Penerbit Universiti Teknikal Malaysia Melaka,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100827462,Scopus,Others,400,Bi-monthly,,,Yes,1985-3157,2289-8107,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100242828,"Revista de Direito, Estado e Telecomunicacoes",0.11,1,3,27,7,0.448,0.146,269,272,Universidade de Brasilia,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100242828,Scopus,Others,400,Bi-monthly,,,Yes,1984-9729,,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100820619,Periodica polytechnica Electrical engineering and computer science,0.52,18,49,94,32,0.264,0.145,222,272,Budapest University of Technology and Economics,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100820619,Scopus,Others,400,Bi-monthly,,,Yes,2064-5260,2064-5279,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100818502,Journal of Information Systems and Telecommunication,0.24,5,23,94,16,0.224,0.126,258,272,"Iranian Academic Center for Education, Culture and Research",Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100818502,Scopus,Others,400,Bi-monthly,,,Yes,2322-1437,2345-2773,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100812121,Serbian Journal of Electrical Engineering,0.47,14,28,59,39,0.759,0.14,232,272,"University of Kragujevac, Faculty of Science",Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100812121,Scopus,Others,400,Bi-monthly,,,Yes,1451-4869,2217-7183,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100810444,Telfor Journal,0.48,15,21,44,25,0.175,0.126,231,272,Academic Mind,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100810444,Scopus,Others,400,Bi-monthly,,,Yes,1821-3251,2334-9905,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
21100793186,SPIIRAS Proceedings,0.57,18,76,134,37,0.794,0.168,221,272,St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences,Journal,YES,1705,Computer Networks and Communications,Quartile4,,https://www.scopus.com/sourceid/21100793186,Scopus,Others,400,Bi-monthly,,,Yes,2078-9181,2078-9599,0.30712558847351823,0.023390271250263286,0.21491513548508182,0.01150157901022914,0.22314460170198686,0.7800771759210794
